spec,rank,score,validated,frag_cov
index=481,1,355.1731193339888,True,0.14285714285714285
index=481,2,297.05154331419135,False,0.08163265306122448
index=484,1,166.0386409309052,True,0.0
index=484,3,163.59895775188733,False,0.010416666666666666
index=485,1,361.1917755080646,True,0.2653061224489796
index=485,2,361.1917755080646,False,0.2653061224489796
index=485,3,361.1917755080646,False,0.2857142857142857
index=485,4,361.1917755080646,False,0.29591836734693877
index=485,5,335.79989115487126,False,0.3163265306122449
index=485,6,314.1738219218528,False,0.30612244897959184
index=485,7,132.0505801409943,False,0.29591836734693877
index=487,1,140.94183764184183,True,0.010416666666666666
index=487,3,125.16099647170921,False,0.020833333333333332
index=487,5,124.37005767134332,False,0.020833333333333332
index=488,2,80.72156130532903,False,0.03125
index=488,3,71.32434751248604,False,0.03125
index=488,4,69.19729854190379,False,0.010416666666666666
index=488,5,68.55276096515227,False,0.010416666666666666
index=491,1,91.68110079977777,True,0.052083333333333336
index=492,1,114.18129970380454,True,0.041666666666666664
index=492,2,99.63758062216101,False,0.041666666666666664
index=492,3,84.86673757635711,False,0.03125
index=492,5,62.55959351491116,False,0.03125
index=493,1,122.00746186436915,True,0.020833333333333332
index=493,3,111.45798746512025,False,0.03125
index=493,4,106.43287916461625,False,0.020833333333333332
index=493,5,105.75615766480158,False,0.020833333333333332
index=496,1,96.40874157704712,True,0.010416666666666666
index=496,2,82.47334989351924,False,0.010416666666666666
index=496,3,81.2131227471594,False,0.0
index=496,5,67.67896101348735,False,0.03125
index=497,1,146.93642197699484,True,0.03125
index=497,5,130.8939265052078,False,0.03125
index=498,1,107.34896225647675,True,0.010416666666666666
index=498,3,93.42201619444602,False,0.041666666666666664
index=500,3,74.67603795154837,False,0.0
index=500,5,63.759017349754494,False,0.020833333333333332
index=501,1,98.71296106300085,True,0.041666666666666664
index=501,2,84.73844406937727,False,0.041666666666666664
index=501,3,81.34186098766992,False,0.03125
index=501,4,79.00260884663216,False,0.020833333333333332
index=501,5,68.73118348245255,False,0.03125
index=502,1,79.77585036893318,True,0.041666666666666664
index=502,6,65.51033385337077,False,0.020833333333333332
index=503,1,80.9769912768916,True,0.0
index=503,2,79.44566764570925,False,0.010416666666666666
index=503,3,79.44566764570925,False,0.010416666666666666
index=503,6,71.37519193745761,False,0.0
index=504,1,68.07692578177725,True,0.0
index=504,2,67.6490033868196,False,0.010416666666666666
index=504,3,65.66415925972075,False,0.052083333333333336
index=504,4,65.20584322411733,False,0.0625
index=504,5,65.05470047915324,False,0.041666666666666664
index=578,1,126.65209659928571,True,0.041666666666666664
index=578,2,125.85626280562559,False,0.03125
index=592,1,96.5654361572225,True,0.03125
index=592,2,89.51490611099558,False,0.052083333333333336
index=592,3,82.54828056844035,True,0.041666666666666664
index=592,4,75.23480351873337,False,0.0625
index=592,5,67.5025943149702,False,0.041666666666666664
index=592,6,67.5025943149702,False,0.041666666666666664
index=597,1,166.57705619971642,True,0.03125
index=597,4,150.85796760684855,False,0.03125
index=604,1,346.91475035489594,True,0.19387755102040816
index=604,2,346.91475035489594,False,0.19387755102040816
index=604,3,346.91475035489594,False,0.19387755102040816
index=604,4,346.91475035489594,False,0.20408163265306123
index=604,5,321.8996076246066,False,0.19387755102040816
index=604,6,321.8996076246066,False,0.1836734693877551
index=604,7,185.0793025856454,False,0.12244897959183673
index=604,8,183.27909506713522,False,0.12244897959183673
index=606,2,227.62415547982158,False,0.020833333333333332
index=631,2,176.51009188712138,False,0.020833333333333332
index=634,1,381.5431628962994,True,0.15306122448979592
index=634,2,303.63380242352486,False,0.12244897959183673
index=634,3,302.07067891478937,False,0.1326530612244898
index=640,1,285.4576846521227,True,0.10204081632653061
index=640,2,237.25602603892997,False,0.09183673469387756
index=640,3,217.24407377580164,False,0.09183673469387756
index=641,1,151.7383729595998,True,0.052083333333333336
index=641,2,151.23663011435235,False,0.0625
index=641,4,137.06754303389226,False,0.07291666666666667
index=641,5,136.2550487582442,False,0.041666666666666664
index=644,1,193.2244536296813,True,0.15306122448979592
index=644,2,158.14510809081065,False,0.16326530612244897
index=644,3,158.14510809081065,False,0.19387755102040816
index=644,4,158.14510809081065,False,0.1836734693877551
index=644,5,139.85066306402513,False,0.16326530612244897
index=644,6,137.6357182067812,False,0.15306122448979592
index=646,1,361.2131716762052,True,0.15306122448979592
index=646,2,304.49391878947773,False,0.1326530612244898
index=646,3,303.01527884574875,False,0.12244897959183673
index=647,1,72.2962565844888,True,0.07291666666666667
index=1101,1,314.7280704658278,True,0.0625
index=1101,2,314.5718242113659,False,0.0625
index=1101,5,296.88349331760355,False,0.0625
index=1107,5,219.27342123550275,False,0.09375
index=1107,6,219.27342123550275,False,0.10416666666666667
index=1109,1,310.0118534616423,True,0.0625
index=1109,2,309.9098802920318,False,0.0625
index=1109,3,292.4401737085417,False,0.0625
index=1109,4,292.40154280489423,False,0.0625
index=1118,1,328.5156218896965,True,0.08333333333333333
index=1118,2,328.1582023319247,False,0.09375
index=1118,3,328.01665445930036,False,0.08333333333333333
index=1118,4,327.8131060869433,False,0.11458333333333333
index=1127,1,343.5789100677166,True,0.07291666666666667
index=1127,2,324.7349466853341,False,0.08333333333333333
index=1127,3,324.72350245913174,False,0.07291666666666667
index=1127,4,306.1668368535933,False,0.07291666666666667
index=1127,5,306.0850886631039,False,0.08333333333333333
index=1133,1,128.26021708458953,True,0.020833333333333332
index=1133,2,128.26021708458953,False,0.020833333333333332
index=1135,1,196.3796252910768,True,0.0
index=1135,2,179.60899557255203,False,0.0
index=1135,5,163.64426547317024,False,0.0
index=1137,1,275.77688028198315,True,0.03125
index=1137,3,257.55897432471,False,0.03125
index=1138,1,344.4129235917686,True,0.11224489795918367
index=1138,2,342.5911367537627,False,0.10204081632653061
index=1138,3,334.80085840837836,False,0.14285714285714285
index=1144,1,333.6313502849905,True,0.24489795918367346
index=1144,2,333.6313502849905,False,0.2653061224489796
index=1144,3,330.8358272114116,False,0.19387755102040816
index=1144,4,330.8358272114116,False,0.19387755102040816
index=1144,5,330.8358272114116,False,0.20408163265306123
index=1144,6,285.1859248551126,False,0.19387755102040816
index=1148,1,287.89606324836825,True,0.03125
index=1148,2,287.89606324836825,False,0.041666666666666664
