spec,rank,score,validated,frag_cov
index=287,1,12.476889710088312,True,0.0
index=418,1,20.7353474439647,True,0.017857142857142856
index=418,2,19.413098245079212,False,0.017857142857142856
index=632,3,25.880214228329272,False,0.03571428571428571
index=693,1,64.30473406681847,True,0.017857142857142856
index=693,2,37.688699295903824,False,0.017857142857142856
index=693,3,31.977007860793947,False,0.017857142857142856
index=693,4,31.883405520839624,False,0.017857142857142856
index=693,5,14.063062666428314,False,0.037037037037037035
index=695,1,108.8856847035681,True,0.1836734693877551
index=695,2,108.8856847035681,False,0.1836734693877551
index=695,5,91.94870870577279,False,0.16326530612244897
index=701,1,56.71778748542725,True,0.017857142857142856
index=701,2,34.22054650947504,False,0.017857142857142856
index=701,3,29.562081057697903,False,0.017857142857142856
index=701,4,29.485745210303065,False,0.017857142857142856
index=777,1,18.168246614166275,True,0.017857142857142856
index=777,3,16.879068218864496,False,0.0
index=836,1,181.3684416854514,True,0.22448979591836735
index=836,2,181.3684416854514,False,0.22448979591836735
index=836,3,181.3684416854514,False,0.22448979591836735
index=836,4,181.3684416854514,False,0.22448979591836735
index=836,5,181.3684416854514,False,0.22448979591836735
index=844,1,272.7108326056036,True,0.24489795918367346
index=844,2,251.24503204828312,False,0.23469387755102042
index=844,3,251.24503204828312,False,0.23469387755102042
index=844,4,251.24503204828312,False,0.23469387755102042
index=844,5,251.24503204828312,False,0.23469387755102042
index=849,1,217.67522216170602,True,0.24489795918367346
index=849,2,217.67522216170602,False,0.24489795918367346
index=849,3,217.67522216170602,False,0.24489795918367346
index=849,4,217.67522216170602,False,0.24489795918367346
index=849,5,217.67522216170602,False,0.24489795918367346
index=855,1,177.49691004700836,True,0.24489795918367346
index=855,2,177.49691004700836,False,0.24489795918367346
index=855,3,177.49691004700836,False,0.24489795918367346
index=855,4,177.49691004700836,False,0.24489795918367346
index=855,5,156.85934606070214,False,0.23469387755102042
index=906,5,306.8477244095558,True,0.2653061224489796
index=951,1,261.31186474376676,True,0.16326530612244897
index=951,2,261.31186474376676,False,0.16326530612244897
index=951,3,261.31186474376676,False,0.17346938775510204
index=1028,1,421.1337393955995,True,0.21428571428571427
index=1028,3,421.1337393955995,False,0.21428571428571427
index=1028,4,421.1337393955995,False,0.20408163265306123
index=1028,5,421.1337393955995,False,0.21428571428571427
index=1038,2,383.9170978868515,True,0.35714285714285715
index=1038,4,382.171716660483,False,0.3163265306122449
index=1041,4,480.61498600730715,True,0.3163265306122449
index=1041,5,478.39592390848657,False,0.30612244897959184
index=1057,1,239.82866075132353,True,0.19387755102040816
index=1057,2,239.82866075132353,False,0.19387755102040816
index=1057,3,239.82866075132353,False,0.19387755102040816
index=1057,4,239.82866075132353,False,0.1836734693877551
index=1057,5,228.19524654636103,False,0.1836734693877551
index=1070,2,219.77567334824562,False,0.22448979591836735
index=1070,3,219.76401593623387,False,0.25510204081632654
index=1070,4,219.76401593623387,False,0.25510204081632654
index=1070,5,219.72277872790983,False,0.24489795918367346
index=1071,1,268.89340719818557,True,0.20408163265306123
index=1071,2,266.7976361528173,False,0.20408163265306123
index=1075,3,278.37686168144205,False,0.20408163265306123
index=1075,5,276.03704900935475,False,0.20408163265306123
index=1079,1,391.83690293405596,True,0.1836734693877551
index=1079,2,391.83690293405596,False,0.1836734693877551
index=1079,3,391.83690293405596,False,0.1836734693877551
index=1079,4,364.7955154224507,False,0.17346938775510204
index=1079,5,364.75029937143836,False,0.17346938775510204
index=1081,1,326.56465891407487,True,0.25510204081632654
index=1081,3,292.580028336909,False,0.25510204081632654
index=1081,4,292.4227760325673,False,0.25510204081632654
index=1081,5,290.51143699534754,False,0.25510204081632654
index=1082,3,266.57086886725904,False,0.15306122448979592
index=1082,4,266.57086886725904,False,0.15306122448979592
index=1082,5,266.57086886725904,False,0.15306122448979592
index=1085,1,216.04156296067805,True,0.24489795918367346
index=1085,2,216.04156296067805,False,0.23469387755102042
index=1094,2,285.4188878880431,False,0.19387755102040816
index=1099,1,245.7170909740036,True,0.2755102040816326
index=1099,2,232.8290087800777,False,0.2653061224489796
index=1099,5,211.9106450056106,False,0.24489795918367346
index=1109,1,271.64473245002114,True,0.25510204081632654
index=1109,2,261.70373622376337,False,0.25510204081632654
index=1109,3,251.17989003741738,False,0.25510204081632654
index=1109,5,244.3633255668273,False,0.24489795918367346
index=1112,1,20.471332602510216,True,0.0
index=1116,4,220.73630595565973,False,0.20408163265306123
index=1116,5,220.73630595565973,False,0.21428571428571427
index=1130,1,343.3998687985053,True,0.30612244897959184
index=1130,2,343.3998687985053,False,0.30612244897959184
index=1130,3,343.3998687985053,False,0.2755102040816326
index=1130,4,343.3868657317515,False,0.3163265306122449
index=1130,5,343.3868657317515,False,0.3163265306122449
index=1140,1,258.2801052436791,True,0.23469387755102042
index=1140,2,251.15856098636527,False,0.23469387755102042
index=1140,3,249.46189659246392,False,0.22448979591836735
index=1140,4,241.10870831005803,False,0.23469387755102042
index=1143,1,209.07844710610217,True,0.2653061224489796
index=1143,2,207.65196411380515,False,0.25510204081632654
index=1143,3,205.9820550792247,False,0.25510204081632654
index=1147,1,292.1567028433151,True,0.20408163265306123
index=1147,4,269.49847721272937,False,0.22448979591836735
index=1152,1,229.94402614400414,True,0.19387755102040816
index=1152,4,167.07918782922053,False,0.15306122448979592
index=1152,5,167.07918782922053,False,0.16326530612244897
index=1153,3,196.45998696697447,False,0.17346938775510204
index=1153,4,195.40143911171947,False,0.16326530612244897
index=1153,5,194.50196153150466,False,0.17346938775510204
index=1157,1,114.30351506139021,True,0.15306122448979592
index=1157,2,95.8317313396893,False,0.14285714285714285
index=1157,3,95.8317313396893,False,0.14285714285714285
index=1157,4,95.8317313396893,False,0.1326530612244898
index=1157,5,95.8317313396893,False,0.12244897959183673
index=1158,1,178.2250249511693,True,0.17346938775510204
index=1158,5,173.33412019978067,False,0.14285714285714285
index=1162,4,208.28406088836945,False,0.16326530612244897
index=1163,1,41.98150325752812,True,0.017857142857142856
index=1166,2,236.93895265721576,True,0.2653061224489796
index=1166,3,236.93895265721576,False,0.2755102040816326
index=1166,4,236.93895265721576,False,0.2653061224489796
index=1166,5,236.93895265721576,False,0.24489795918367346
index=1167,1,138.68016413257052,True,0.10204081632653061
index=1167,3,118.94666502242083,False,0.09183673469387756
index=1167,4,118.94666502242083,False,0.09183673469387756
index=1169,1,279.90406918718156,True,0.19387755102040816
index=1170,1,119.8909592737222,True,0.2653061224489796
index=1170,2,119.8909592737222,False,0.2653061224489796
index=1170,3,119.8909592737222,False,0.25510204081632654
index=1170,4,119.68059805436768,False,0.2653061224489796
index=1170,5,119.68059805436768,False,0.2653061224489796
index=1186,4,290.476576723281,True,0.2653061224489796
index=1186,5,290.476576723281,False,0.2653061224489796
index=1187,5,340.608178764719,False,0.24489795918367346
index=1197,1,257.421462148028,True,0.21428571428571427
index=1197,2,236.22119161184418,False,0.19387755102040816
index=1197,3,234.5619643375457,False,0.17346938775510204
index=1197,4,233.88032415074923,False,0.19387755102040816
index=1197,5,233.67753035208065,False,0.19387755102040816
index=1198,2,251.94482713828342,False,0.1836734693877551
index=1198,5,251.4210801728099,False,0.1836734693877551
index=1202,1,432.36744801179276,True,0.3877551020408163
index=1202,2,431.8210077484322,False,0.3877551020408163
index=1202,3,413.0450227503695,False,0.37755102040816324
index=1202,4,412.51765765998493,False,0.37755102040816324
index=1205,1,306.4375578734559,True,0.22448979591836735
index=1205,2,303.2356289372343,False,0.22448979591836735
index=1205,3,302.75995051575717,False,0.2653061224489796
index=1205,4,301.6831952272292,False,0.22448979591836735
index=1209,1,258.00482286670376,True,0.2653061224489796
index=1209,2,258.00482286670376,False,0.23469387755102042
index=1209,3,239.3586632880133,False,0.25510204081632654
index=1209,4,239.3586632880133,False,0.25510204081632654
index=1210,1,653.1993744025038,True,0.3877551020408163
index=1210,2,652.4984158714813,False,0.3877551020408163
index=1210,3,608.9241253861061,False,0.35714285714285715
index=1210,4,608.2613143017909,False,0.35714285714285715
index=1210,5,584.4058672341882,False,0.45918367346938777
index=1211,1,274.18830336601764,True,0.19387755102040816
index=1211,2,274.18830336601764,False,0.19387755102040816
index=1211,4,256.20450440864175,False,0.1836734693877551
index=1211,5,256.20450440864175,False,0.1836734693877551
index=1213,1,484.4656833967837,True,0.3979591836734694
index=1213,2,469.412840675515,False,0.2857142857142857
index=1213,3,463.77459363376573,False,0.3877551020408163
index=1213,4,461.5620874994983,False,0.3979591836734694
index=1214,1,334.7871008058103,True,0.22448979591836735
index=1214,2,331.05980928926374,False,0.22448979591836735
index=1214,3,329.25278325618626,False,0.21428571428571427
index=1214,4,327.72621233353266,False,0.2653061224489796
index=1218,1,347.37373183311087,True,0.2653061224489796
index=1218,2,343.6765557118144,False,0.22448979591836735
index=1218,3,342.0259224719911,False,0.25510204081632654
index=1218,4,340.8629361855349,False,0.24489795918367346
index=1218,5,337.6548260800107,False,0.22448979591836735
index=1220,1,810.7220271960791,True,0.5102040816326531
index=1220,2,809.9808217480963,False,0.5102040816326531
index=1220,3,716.172757131691,False,0.47959183673469385
index=1220,4,709.8167056064189,False,0.45918367346938777
index=1220,5,709.1517772635243,False,0.45918367346938777
index=1221,1,459.812688139182,True,0.2857142857142857
index=1221,3,436.02643667793666,False,0.32653061224489793
index=1221,4,416.16197399938187,False,0.2857142857142857
index=1221,5,415.9193467138356,False,0.2653061224489796
index=1222,1,273.5493121709685,True,0.24489795918367346
index=1222,2,273.5493121709685,False,0.23469387755102042
index=1223,3,194.2901918430568,False,0.22448979591836735
index=1223,4,194.2901918430568,False,0.22448979591836735
index=1223,5,190.24265090965713,False,0.20408163265306123
index=1224,1,219.65827821023495,True,0.24489795918367346
index=1224,2,213.94006121870717,False,0.22448979591836735
index=1224,5,203.59747416883562,False,0.21428571428571427
index=1225,1,335.6311810851955,True,0.23469387755102042
index=1225,2,335.6311810851955,False,0.23469387755102042
index=1229,1,605.1289497835922,True,0.3877551020408163
index=1229,2,604.4846154856857,False,0.3877551020408163
index=1229,3,546.5224592865352,False,0.336734693877551
index=1229,4,543.9732270791343,False,0.37755102040816324
index=1229,5,538.6674132862191,False,0.3469387755102041
index=1230,1,479.60376459836357,True,0.2857142857142857
index=1230,2,461.13707342309465,False,0.2857142857142857
index=1230,3,457.2994281601751,False,0.2653061224489796
index=1230,4,454.4880860469663,False,0.2755102040816326
index=1230,5,437.55211157304694,False,0.2755102040816326
index=1231,1,690.5081818870782,True,0.5510204081632653
index=1231,2,668.1153372902459,False,0.5
index=1231,3,668.1077509832717,False,0.5
index=1231,4,602.7306718923138,False,0.5
index=1231,5,597.4681563534531,False,0.46938775510204084
index=1232,2,286.03592241935553,False,0.17346938775510204
index=1232,3,286.03592241935553,False,0.17346938775510204
index=1232,4,286.03592241935553,False,0.17346938775510204
index=1232,5,286.03592241935553,False,0.17346938775510204
index=1233,2,248.48618278793083,False,0.20408163265306123
index=1233,3,248.48618278793083,False,0.20408163265306123
index=1233,4,248.46004162726078,False,0.21428571428571427
index=1236,1,343.68232045514003,True,0.2755102040816326
index=1239,1,721.1739400060627,True,0.5510204081632653
index=1239,2,672.3594578922798,False,0.5
index=1239,3,648.1036639313021,False,0.45918367346938777
index=1239,4,647.2326508420533,False,0.45918367346938777
index=1239,5,619.7798906674642,False,0.336734693877551
index=1240,1,404.8487801165686,True,0.29591836734693877
index=1240,2,403.77622994345984,False,0.29591836734693877
index=1240,3,388.23589870604667,False,0.2755102040816326
index=1240,5,386.34504230529024,False,0.2857142857142857
index=1241,1,364.4754884095918,True,0.2653061224489796
index=1241,2,364.4754884095918,False,0.25510204081632654
index=1241,3,364.4754884095918,False,0.23469387755102042
index=1241,4,364.4754884095918,False,0.23469387755102042
index=1241,5,351.3077024474195,False,0.2653061224489796
index=1243,1,708.0989203873185,True,0.5306122448979592
index=1243,2,708.0989203873185,False,0.5306122448979592
index=1243,3,668.869263208419,False,0.47959183673469385
index=1243,4,668.869263208419,False,0.47959183673469385
index=1243,5,614.9363815847961,False,0.4489795918367347
index=1244,1,434.9849723961428,True,0.3877551020408163
index=1244,2,415.0589389741038,False,0.3673469387755102
index=1244,3,413.9107749844306,False,0.37755102040816324
index=1244,4,401.93010921374196,False,0.37755102040816324
index=1244,5,401.91339519805535,False,0.3979591836734694
index=1245,1,291.5990078625905,True,0.23469387755102042
index=1245,2,291.5990078625905,False,0.23469387755102042
index=1245,3,291.5990078625905,False,0.23469387755102042
index=1245,4,291.360443940708,False,0.23469387755102042
index=1246,2,202.48032355283672,False,0.17346938775510204
index=1246,3,202.48032355283672,False,0.17346938775510204
index=1246,4,190.47661684281047,False,0.17346938775510204
index=1247,2,221.92475903902817,False,0.15306122448979592
index=1247,3,221.92475903902817,False,0.15306122448979592
index=1248,1,323.25264237293356,True,0.35714285714285715
index=1248,2,323.25264237293356,False,0.3469387755102041
index=1248,3,315.68198169549817,False,0.3163265306122449
index=1248,4,312.30496175443096,False,0.3163265306122449
index=1248,5,312.2490925691091,False,0.29591836734693877
index=1249,1,580.9851258200822,True,0.5
index=1249,2,580.9851258200822,True,0.5306122448979592
index=1249,3,515.0880763286225,False,0.35714285714285715
index=1249,4,513.5246016719233,False,0.46938775510204084
index=1249,5,496.38483494495034,False,0.3469387755102041
index=1250,1,371.71184170216645,True,0.25510204081632654
index=1250,2,363.6676350775607,False,0.23469387755102042
index=1250,3,349.849747176081,False,0.24489795918367346
index=1250,4,348.7255663197643,False,0.2653061224489796
index=1251,1,619.3120136774687,True,0.30612244897959184
index=1251,2,618.6672978395601,False,0.30612244897959184
index=1251,3,551.1903655851982,False,0.2653061224489796
index=1251,5,534.251322062815,False,0.30612244897959184
index=1252,1,585.9052056238282,True,0.46938775510204084
index=1252,2,585.6684770012416,False,0.46938775510204084
